INSTANCE,ITER,TABLESIZE,MARKINGSIZE
bingham_h25,0,63,32
bingham_h25,1,2379,33
bingham_h25,2,4706,35
bingham_h25,3,7064,37
bingham_h25,4,9409,39
bingham_h25,5,11735,41
bingham_h25,6,14036,43
bingham_h25,7,16306,45
bingham_h25,8,18539,47
bingham_h25,9,20729,49
bingham_h25,10,22870,51
bingham_h25,11,24956,53
bingham_h25,12,26981,55
bingham_h25,13,28939,57
bingham_h25,14,30824,59
bingham_h25,15,32630,61
bingham_h25,16,34351,63
bingham_h25,17,35981,65
bingham_h25,18,37514,67
bingham_h25,19,38944,69
bingham_h25,20,40265,71
bingham_h25,21,41471,73
bingham_h25,22,42556,75
bingham_h25,23,43514,77
bingham_h25,24,44339,79
bingham_h25,25,47114,133
bingham_h25,26,48964,161
