INSTANCE,ITER,TABLESIZE,MARKINGSIZE
extendedread-write-smallconsts,0,76,28
extendedread-write-smallconsts,1,9960,327
extendedread-write-smallconsts,2,52174,1286
extendedread-write-smallconsts,3,106511,1911
extendedread-write-smallconsts,4,156079,2334
extendedread-write-smallconsts,5,193833,2404
extendedread-write-smallconsts,6,222281,2482
extendedread-write-smallconsts,7,244413,2472
extendedread-write-smallconsts,8,260960,2507
extendedread-write-smallconsts,9,274636,2613
extendedread-write-smallconsts,10,285761,2701
extendedread-write-smallconsts,11,294297,2731
extendedread-write-smallconsts,12,299981,2738
extendedread-write-smallconsts,13,303987,2644
extendedread-write-smallconsts,14,307371,2439
extendedread-write-smallconsts,15,310423,2239
extendedread-write-smallconsts,16,312915,2066
extendedread-write-smallconsts,17,315115,1907
extendedread-write-smallconsts,18,317057,1759
extendedread-write-smallconsts,19,318799,1622
extendedread-write-smallconsts,20,320295,1498
extendedread-write-smallconsts,21,321595,1392
extendedread-write-smallconsts,22,322571,1303
extendedread-write-smallconsts,23,322682,1245
