INSTANCE,ITER,TABLESIZE,MARKINGSIZE
extendedread-write-smallconsts,0,76,28
extendedread-write-smallconsts,1,9960,327
extendedread-write-smallconsts,2,52174,1286
extendedread-write-smallconsts,3,106511,1911
extendedread-write-smallconsts,4,156079,2334
extendedread-write-smallconsts,5,193833,2404
extendedread-write-smallconsts,6,222281,2482
extendedread-write-smallconsts,7,244413,2472
extendedread-write-smallconsts,8,260960,2507
extendedread-write-smallconsts,9,274636,2613
extendedread-write-smallconsts,10,285761,2701
extendedread-write-smallconsts,11,294297,2731
extendedread-write-smallconsts,12,299981,2738
extendedread-write-smallconsts,13,303987,2644
extendedread-write-smallconsts,14,307371,2439
extendedread-write-smallconsts,15,310423,2239
extendedread-write-smallconsts,16,312915,2066
extendedread-write-smallconsts,17,315115,1907
extendedread-write-smallconsts,18,317057,1759
extendedread-write-smallconsts,19,318799,1622
extendedread-write-smallconsts,20,320295,1498
extendedread-write-smallconsts,21,321595,1392
extendedread-write-smallconsts,22,322571,1303
extendedread-write-smallconsts,23,322682,1245

pingpong,0,18,10
pingpong,1,171,24
pingpong,2,346,28
pingpong,3,424,28

leabasicapproach,0,41,20
leabasicapproach,1,1308,102

fms_attic,0,87,32
fms_attic,1,1740,54
fms_attic,2,4618,207
fms_attic,3,12195,331
fms_attic,4,24443,565
fms_attic,5,39953,821
fms_attic,6,73583,1639
fms_attic,7,115250,2687
fms_attic,8,139504,2735
fms_attic,9,164083,2664
fms_attic,10,179897,2684
fms_attic,11,189977,2617
fms_attic,12,199062,2592
fms_attic,13,204911,2677
fms_attic,14,208224,2486
fms_attic,15,213365,2440
fms_attic,16,215983,2461
fms_attic,17,217916,2458
fms_attic,18,220183,2461
fms_attic,19,221922,2498
fms_attic,20,223182,2440
fms_attic,21,224892,2433
fms_attic,22,225793,2437
fms_attic,23,226485,2436
fms_attic,24,227259,2438
fms_attic,25,227838,2450
fms_attic,26,228259,2431

mesh2x2,0,77,36
mesh2x2,1,4788,97
